epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1630.09,0.25356,0.14009,0.1498,0.1861,0.97947,0.99981,1,0.995,0.98805,0.99981,1,0.995,0.98928,0.20807,0.13172,0.01854,0.18285,0.83197,0.000337987,0.000337987,0.000337987
61,1656.67,0.24415,0.13238,0.15443,0.18208,0.96606,0.99982,1,0.995,0.98919,0.99982,1,0.995,0.99243,0.21045,0.11755,0.02551,0.18361,0.82893,0.000309964,0.000309964,0.000309964
62,1683.69,0.24471,0.11792,0.14195,0.18353,0.97651,0.99983,1,0.995,0.98841,0.99983,1,0.995,0.97945,0.19758,0.14863,0.0149,0.17385,0.8158,0.000283021,0.000283021,0.000283021
63,1710.39,0.24728,0.12174,0.14338,0.18349,0.97271,0.9998,1,0.995,0.98819,0.9998,1,0.995,0.99219,0.20358,0.11448,0.01847,0.17327,0.82627,0.000257198,0.000257198,0.000257198
64,1736.93,0.24265,0.11878,0.1358,0.18003,0.96908,0.99978,1,0.995,0.9898,0.99978,1,0.995,0.98885,0.20663,0.1251,0.01391,0.17723,0.83002,0.000232536,0.000232536,0.000232536
65,1763.32,0.23647,0.12337,0.13564,0.1754,0.97693,0.99983,1,0.995,0.98819,0.99983,1,0.995,0.99297,0.20735,0.10072,0.01417,0.16956,0.82591,0.000209073,0.000209073,0.000209073
66,1789.75,0.22757,0.10944,0.13377,0.16567,0.95987,0.99983,1,0.995,0.99038,0.99983,1,0.995,0.99359,0.19956,0.1033,0.0143,0.1657,0.81763,0.000186845,0.000186845,0.000186845
67,1817.02,0.24024,0.11601,0.1375,0.17485,0.97956,0.99983,1,0.995,0.98923,0.99983,1,0.995,0.99121,0.20542,0.11569,0.01066,0.17379,0.82834,0.000165886,0.000165886,0.000165886
68,1843.67,0.23033,0.10871,0.1231,0.17146,0.95423,0.99984,1,0.995,0.99105,0.99984,1,0.995,0.98858,0.2006,0.12947,0.00814,0.17194,0.82452,0.000146229,0.000146229,0.000146229
69,1870.1,0.2248,0.09402,0.12463,0.16783,0.9552,0.99983,1,0.995,0.99187,0.99983,1,0.995,0.99078,0.1928,0.10569,0.00867,0.16713,0.8107,0.000127904,0.000127904,0.000127904
70,1896.65,0.2246,0.11017,0.1173,0.16915,0.94725,0.99983,1,0.995,0.99103,0.99983,1,0.995,0.99349,0.19352,0.09084,0.00854,0.16545,0.8089,0.000110938,0.000110938,0.000110938
71,1929.55,0.29483,0.3645,0.0929,0.18978,0.75868,0.99983,1,0.995,0.99043,0.99983,1,0.995,0.994,0.20025,0.09478,0.01263,0.16414,0.82597,9.53593e-05,9.53593e-05,9.53593e-05
72,1957.58,0.29401,0.30055,0.06905,0.18585,0.75431,0.99982,1,0.995,0.98828,0.99982,1,0.995,0.99499,0.20444,0.0866,0.01073,0.16637,0.83417,8.11906e-05,8.11906e-05,8.11906e-05
73,1983.82,0.28183,0.27965,0.05852,0.17708,0.75082,0.99979,1,0.995,0.98847,0.99979,1,0.995,0.9947,0.20046,0.07603,0.00949,0.16218,0.82409,6.8454e-05,6.8454e-05,6.8454e-05
74,2010.45,0.28205,0.25684,0.06763,0.17705,0.74268,0.9998,1,0.995,0.98966,0.9998,1,0.995,0.99476,0.19759,0.06809,0.00784,0.16012,0.8208,5.71693e-05,5.71693e-05,5.71693e-05
75,2036.78,0.28474,0.19244,0.05253,0.17775,0.74436,0.99981,1,0.995,0.98963,0.99981,1,0.995,0.99474,0.20072,0.06521,0.00722,0.16333,0.82216,4.73538e-05,4.73538e-05,4.73538e-05
76,2063.17,0.27396,0.19344,0.04689,0.17197,0.73564,0.99982,1,0.995,0.98992,0.99982,1,0.995,0.99492,0.19799,0.06528,0.00709,0.15775,0.81784,3.90226e-05,3.90226e-05,3.90226e-05
77,2090.44,0.27517,0.17318,0.04742,0.17205,0.73425,0.99982,1,0.995,0.99045,0.99982,1,0.995,0.99494,0.19502,0.06299,0.00583,0.15781,0.81401,3.21885e-05,3.21885e-05,3.21885e-05
78,2117.4,0.27956,0.20171,0.05003,0.17321,0.73827,0.99982,1,0.995,0.99014,0.99982,1,0.995,0.99496,0.19255,0.06247,0.00583,0.15401,0.81087,2.68622e-05,2.68622e-05,2.68622e-05
79,2143.59,0.27053,0.1736,0.05456,0.16758,0.73694,0.99983,1,0.995,0.98934,0.99983,1,0.995,0.99496,0.19185,0.06081,0.00573,0.15505,0.81046,2.30518e-05,2.30518e-05,2.30518e-05
80,2169.8,0.25936,0.16642,0.03861,0.16401,0.7356,0.99982,1,0.995,0.99056,0.99982,1,0.995,0.99496,0.19134,0.05978,0.00596,0.15413,0.80912,2.07633e-05,2.07633e-05,2.07633e-05
